,ck_trieda,ck_cislo,spravcovske_cislo,ID_most,rok_postavenia,stav_kod,stav_slovom,lon,lat,rok_data
246,Cesta III. triedy,1827,47,M9713,2016.0,-1,Neznámy,18.23083,48.71509,2021
247,Diaľnica,D00001,215,M9533,2010.0,-1,Neznámy,21.20125456,48.99749658,2021
248,Diaľnica,D00001,403,M9635,2015.0,-1,Neznámy,21.00726,49.02646,2021
249,Diaľnica,D00001,404,M9634,2015.0,-1,Neznámy,21.01312,49.02647,2021
250,Diaľnica,D00001,354,M6685,1982.0,-1,Neznámy,21.248751521,48.90076424,2021
251,Diaľnica,D00001,1,M6981,2001.0,-1,Neznámy,17.201686686,48.185830708,2021
252,Diaľnica,D00001,280,M6474,2008.0,-1,Neznámy,20.357439921,49.059288346,2021
253,Diaľnica,D00001,281,M5826,2008.0,-1,Neznámy,20.367491962,49.050723155,2021
254,Diaľnica,D00001,282,M4029,2008.0,-1,Neznámy,0.0,0.0,2021
255,Diaľnica,D00001,287,M2523,2008.0,-1,Neznámy,20.441011124,49.019784632,2021
256,Diaľnica,R00007,,M9812,2019.0,-1,Neznámy,17.25301,48.0714,2021
257,Diaľnica,D00001,405,M9633,2015.0,-1,Neznámy,21.02014,49.02653,2021
258,Diaľnica,R00007,,M9809,2019.0,-1,Neznámy,17.2484,48.07394,2021
259,Diaľnica,R00007,,M9821,2018.0,-1,Neznámy,17.18593,48.0903,2021
260,Diaľnica,D00001,406,M9632,2015.0,-1,Neznámy,21.02875,49.02316,2021
261,Diaľnica,D00001,407,M9631,2015.0,-1,Neznámy,21.03697,49.01894,2021
262,Diaľnica,D00001,288,M6049,2008.0,-1,Neznámy,20.448290638,49.016685808,2021
263,Diaľnica,D00001,408,M9630,2015.0,-1,Neznámy,21.03982,49.01566,2021
264,Cesta II. triedy,MK,,M2783,1000.0,-1,Neznámy,17.104756521,48.131735988,2021
265,Diaľnica,D00001,412,M9626,2015.0,-1,Neznámy,21.0905,49.00098,2021
266,Diaľnica,D00001,411,M9627,2015.0,-1,Neznámy,21.07703,48.99938,2021
267,Diaľnica,D00001,410,M9628,2015.0,-1,Neznámy,21.06031,48.99908,2021
268,Diaľnica,D00001,409,M9629,2015.0,-1,Neznámy,21.05561,49.00454,2021
269,Diaľnica,D00001,,M1286,2008.0,-1,Neznámy,0.0,0.0,2021
270,Cesta II. triedy,502,,M3226,1000.0,-1,Neznámy,17.178410946,48.221461096,2021
271,Diaľnica,R00004,202,M9428,2009.0,-1,Neznámy,21.585242,49.3009,2021
272,Diaľnica,D00001,156,M5151,2004.0,-1,Neznámy,18.32400657,49.052527363,2021
273,Diaľnica,R00004,203,M9429,2009.0,-1,Neznámy,21.584451,49.307755,2021
274,Diaľnica,R00004,205,M9432,2009.0,-1,Neznámy,21.581563,49.31687,2021
275,Diaľnica,R00004,206,M9433,2009.0,-1,Neznámy,21.586147,49.324219,2021
276,Diaľnica,D00001,338.1,M9407,2003.0,-1,Neznámy,20.983358,49.02056,2021
277,Diaľnica,D00001,277.1,M1682,2008.0,-1,Neznámy,20.325729202,49.072790921,2021
278,Diaľnica,D00001,302,M9717,2015.0,-1,Neznámy,20.60351,49.00981,2021
279,Diaľnica,R00004,207,M9434,2009.0,-1,Neznámy,21.589346,49.325472,2021
280,Diaľnica,R00004,208,M9582,2009.0,-1,Neznámy,21.58877,49.32528,2021
281,Diaľnica,D00001,023A1,M1054,2002.0,-1,Neznámy,17.181081261,48.147646253,2021
282,Diaľnica,D00001,289,M9647,2013.0,-1,Neznámy,20.4548,49.01318,2021
283,Diaľnica,D00001,023A6,M3141,2002.0,-1,Neznámy,17.180771337,48.151886889,2021
284,Diaľnica,D00001,023A2,M6150,2002.0,-1,Neznámy,17.181110025,48.148052837,2021
285,Diaľnica,D00001,300,M9715,2015.0,-1,Neznámy,20.58455,49.00557,2021
